player_id,feature_1_games_30d,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,test_games_7d,test_spend_7d,player_group,weight,activity_change,spend
3825589,676.0,RUc,952.0,209.0,27.0,873.0,YW5kc,YXI,dGVjb,0.0,1.0,8.0,356.0,null,8.0,8.0,10.0,ZWdhbF9zdHJp,95.0,0.0,A,1.0,-8.961904761904764,0.0
2662348,283.0,VVM,3144.0,35.0,12.0,344.0,aW9z,ZW4,YXBwb,527417344.0,1.0,24.0,1847.0,null,0.0,0.0,0.0,LTA0OjAw,192.0,0.0,A,1.0,17.995238095238093,0.0
767881,2.0,Q0E,8.0,0.0,2.0,2.0,aW9z,ZW4,YXBwb,0.0,1.0,1.0,117.0,null,0.0,0.0,0.0,LTA1OjAw,158.0,1.0,A,1.0,22.504761904761907,0.14285714285714285
720936,0.0,TVk,207.0,0.0,1.0,0.0,YW5kc,emg,dml2b,1968586752.0,1.0,10.0,266.0,null,0.0,1.0,0.0,KzA4OjAw,12.0,0.0,A,1.0,1.7142857142857142,0.0
507063,0.0,null,0.0,0.0,0.0,0.0,null,ZW4,null,0.0,1.0,0.0,0.0,null,0.0,0.0,0.0,null,32.0,68.0,A,1.0,4.571428571428571,9.714285714285714
2190789,44.0,Tkw,229.0,8.0,10.0,67.0,aW9z,bmw,YXBwb,1021313024.0,1.0,2.0,527.0,null,0.0,1.0,0.0,KzAyOjAw,8.0,0.0,A,1.0,-0.32380952380952377,0.0
1183113,11.0,SU4,11.0,9.0,2.0,11.0,YW5kc,ZW4,bW90b,0.0,1.0,0.0,10.0,null,0.0,0.0,0.0,KzA1OjMw,42.0,50.0,A,1.0,5.633333333333334,7.142857142857142
89478,0.0,null,0.0,0.0,0.0,0.0,null,ZW4,null,0.0,1.0,0.0,0.0,null,0.0,0.0,0.0,null,16.0,50.0,A,1.0,2.2857142857142856,7.142857142857142
5032938,243.0,Vk4,1339.0,45.0,26.0,344.0,YW5kc,dmk,c2Ftc,3630383104.0,1.0,6.0,443.0,null,5.0,6.0,0.0,KzA3OjAw,14.0,0.0,A,1.0,-6.1,0.0
1268325,30.0,TVg,30.0,28.0,3.0,32.0,aW9z,ZXM,YXBwb,0.0,1.0,0.0,29.0,null,1.0,50.0,0.0,LTA1OjAw,0.0,0.0,A,1.0,-1.0,0.0
1849950,68.0,TUE,119.0,21.0,12.0,158.0,YW5kc,ZnI,c29ue,1823129600.0,1.0,1.0,199.0,null,1.0,2.0,0.0,ZWdhbF9zdHJp,6.0,1.0,A,1.0,-1.4095238095238094,0.14285714285714285
3500444,349.0,TVg,1244.0,109.0,24.0,638.0,YW5kc,ZXM,c2Ftc,0.0,1.0,5.0,2967.0,null,10.0,10.0,12.0,LTA1OjAw,200.0,16.0,A,1.0,16.93809523809524,2.2857142857142856
1004111,5.0,UEs,233.0,1.0,2.0,7.0,YW5kc,ZW4,cW1vY,0.0,1.0,2.0,326.0,null,0.0,1.0,0.0,KzA1OjAw,2.0,0.0,A,1.0,0.11904761904761905,0.0
5466652,933.0,SU4,933.0,337.0,31.0,1143.0,YW5kc,ZW4,eGlhb,0.0,1.0,5.0,470.0,null,12.0,11.0,7.0,ZWdhbF9zdHJp,226.0,1.0,A,1.0,1.1857142857142833,0.14285714285714285
1016101,24.0,VVM,24.0,4.0,2.0,27.0,aW9z,ZW4,YXBwb,0.0,1.0,3.0,1014.0,null,0.0,0.0,0.0,LTA1OjAw,101.0,1.0,A,1.0,13.628571428571426,0.14285714285714285
3602995,649.0,VFc,6269.0,38.0,26.0,883.0,aHRtb,emg,YXBwb,2099249152.0,1.0,4.0,3301.0,null,4.0,4.0,10.0,KzA4OjAw,214.0,4.0,A,1.0,8.93809523809524,0.5714285714285714
4418786,490.0,REU,1883.0,41.0,30.0,603.0,aW9z,ZGU,YXBwb,3137978368.0,1.0,14.0,2310.0,null,4.0,4.0,7.0,KzAyOjAw,135.0,1.0,A,1.0,2.952380952380953,0.14285714285714285
2298723,260.0,SU4,267.0,89.0,13.0,319.0,YW5kc,ZW4,dml2b,0.0,1.0,1.0,89.0,null,8.0,52.0,49.0,KzA1OjMw,135.0,1.0,A,1.0,10.619047619047619,0.14285714285714285
2493104,28.0,SU4,367.0,7.0,8.0,66.0,YW5kc,ZW4,b3Bwb,2926952448.0,1.0,1.0,270.0,null,2.0,5.0,0.0,KzA1OjMw,2.0,0.0,A,1.0,-0.6476190476190476,0.0
804753,3.0,Tkw,91.0,2.0,2.0,7.0,aW9z,bmw,YXBwb,529481728.0,1.0,0.0,260.0,null,0.0,0.0,0.0,ZWdhbF9zdHJp,8.0,0.0,A,1.0,1.0428571428571427,0.0
1404857,24.0,TEI,160.0,8.0,6.0,30.0,YW5kc,ZW4,aHVhd,2019143680.0,1.0,5.0,734.0,null,2.0,2.0,7.0,KzAzOjAw,6.0,0.0,A,1.0,0.05714285714285705,0.0
437931,0.0,null,4.0,0.0,1.0,0.0,null,ZW4,c2Ftc,0.0,1.0,1.0,245.0,null,0.0,0.0,0.0,null,63.0,0.0,A,1.0,9.0,0.0
1918617,3.0,Tkw,141.0,0.0,4.0,29.0,aW9z,bmw,YXBwb,2075656192.0,1.0,1.0,259.0,null,0.0,1.0,0.0,KzAyOjAw,2.0,0.0,A,1.0,0.1857142857142857,0.0
5332766,681.0,SU4,1140.0,218.0,30.0,822.0,YW5kc,ZW4,c2Ftc,1892597760.0,1.0,0.0,874.0,null,9.0,9.0,12.0,KzA1OjMw,71.0,1.0,A,1.0,-12.557142857142857,0.14285714285714285
1067184,7.0,SU4,7.0,4.0,3.0,16.0,YW5kc,aGk,null,0.0,1.0,0.0,26.0,null,1.0,50.0,0.0,KzA1OjMw,15.0,44.0,A,1.0,1.9095238095238092,6.2857142857142865
2366953,31.0,SU4,271.0,8.0,15.0,107.0,YW5kc,ZW4,c2Ftc,1957011456.0,1.0,1.0,546.0,null,2.0,3.0,0.0,KzA1OjMw,3.0,0.0,A,1.0,-0.6047619047619048,0.0
5005300,1173.0,SUQ,3653.0,212.0,26.0,1613.0,YW5kc,aW4,c2Ftc,935833600.0,1.0,3.0,1635.0,null,11.0,11.0,10.0,KzA3OjAw,93.0,3.0,A,1.0,-25.814285714285717,0.42857142857142855
4816037,1020.0,SEs,3970.0,80.0,31.0,1321.0,aW9z,emg,YXBwb,2920284160.0,1.0,0.0,3530.0,null,7.0,8.0,0.0,ZWdhbF9zdHJp,206.0,0.0,A,1.0,-4.571428571428573,0.0
659361,0.0,Sk8,3.0,0.0,1.0,0.0,aW9z,ZW4,null,0.0,1.0,0.0,7.0,null,0.0,0.0,0.0,KzAzOjAw,0.0,0.0,A,1.0,0.0,0.0
2838426,92.0,Uk8,279.0,31.0,17.0,120.0,YW5kc,cm8,c2Ftc,0.0,1.0,0.0,123.0,null,3.0,4.0,0.0,KzAzOjAw,40.0,0.0,A,1.0,2.6476190476190475,0.0
3235651,117.0,QVo,615.0,51.0,23.0,170.0,YW5kc,cnU,bGdl,1003118592.0,1.0,1.0,263.0,null,3.0,4.0,0.0,KzA1OjAw,23.0,0.0,A,1.0,-0.6142857142857143,0.0
2041546,191.0,SVE,191.0,67.0,7.0,254.0,aW9z,YXI,YXBwb,0.0,1.0,4.0,95.0,null,6.0,50.0,41.0,KzAzOjAw,161.0,9.0,A,1.0,16.633333333333333,1.2857142857142858
